Species
E (entity)	1	E1
EG (entity groupping)	1	1
T (time)	3	0	1 	3
R (replicate)	1
Data	800
V_000_1 1.063372        1.004712        1.012731
V_000_2 1.00339 1.086683        0.8990179
V_000_3 1.107634        1.011127        0.8929472
V_000_4 0.918415        1.032169        1.185678
V_000_5 1.013151        1.012079        1.155212
V_000_6 0.8466242       1.072804        1.02437
V_000_7 1.079891        1.113491        1.064901
V_000_8 1.159043        1.076512        0.8311582
V_000_9 0.964734        0.8747149       1.020153
V_000_10        1.024882        0.9116008       1.169409
V_000_11        0.8621449       0.930174        0.9724801
V_000_12        0.8972591       1.251366        1.204687
V_000_13        0.8992511       1.040471        1.082661
V_000_14        1.080682        0.8585444       0.9164767
V_000_15        0.9534969       1.089228        1.048498
V_000_16        1.022503        0.9097732       1.048984
V_000_17        1.03081 0.9052752       0.8358646
V_000_18        1.217905        1.072526        1.173242
V_000_19        1.005996        1.005873        0.9699904
V_000_20        0.9257397       0.9612961       1.092205
V_000_21        1.07186 0.8755037       0.8415283
V_000_22        1.051367        0.9304486       1.043262
V_000_23        0.9681996       1.001456        1.010798
V_000_24        1.042739        1.071634        1.103786
V_000_25        1.082148        1.068019        0.9625166
V_000_26        1.018443        0.9398503       0.9317335
V_000_27        0.9662203       1.052328        0.7208362
V_000_28        0.8256184       1.007463        1.006312
V_000_29        0.9986214       1.031771        0.8893253
V_000_30        1.06913 0.8391805       1.003145
V_000_31        1.102899        1.203696        0.9260867
V_000_32        0.9278587       0.8582594       0.9255861
V_000_33        0.9932528       0.9888593       1.241657
V_000_34        1.097611        0.9664002       0.8780385
V_000_35        1.063381        0.9903324       1.135621
V_000_36        1.119055        1.143357        0.9872108
V_000_37        1.019723        1.156706        0.9048561
V_000_38        1.083618        0.9578695       1.06639
V_000_39        0.9785691       1.095782        0.999612
V_000_40        1.023163        1.044332        1.13969
V_000_41        1.081325        0.9778628       1.002156
V_000_42        0.908271        1.025677        1.121901
V_000_43        0.9940547       0.9294009       1.024912
V_000_44        0.9497611       1.143853        1.076231
V_000_45        0.9878476       0.9879812       1.051187
V_000_46        1.127361        0.9809887       0.9509919
V_000_47        0.9295133       1.131404        1.000049
V_000_48        0.9648032       0.9317692       1.050418
V_000_49        0.9310259       1.079129        0.8939811
V_000_50        1.260616        0.9107516       0.8061805
V_000_51        0.8452489       0.9580791       1.065146
V_000_52        1.008838        0.9897306       0.9532407
V_000_53        0.9332621       0.9951132       1.02084
V_000_54        0.9110045       1.188949        1.02174
V_000_55        1.105719        0.8962473       0.9932651
V_000_56        0.9648262       0.9482439       1.026164
V_000_57        1.061387        0.9648818       0.9340979
V_000_58        1.150011        1.101484        0.9718353
V_000_59        1.013801        0.9694817       0.9483255
V_000_60        0.9512977       1.010789        0.963927
V_000_61        0.8947977       0.9914359       1.072727
V_000_62        0.9885179       1.057135        0.8947496
V_000_63        0.9616497       1.087442        1.154208
V_000_64        1.362287        1.066795        0.9227765
V_000_65        1.006241        0.8086354       0.836968
V_000_66        0.9458081       0.929177        0.9380544
V_000_67        0.9295063       1.04423 0.867588
V_000_68        0.9584057       1.181485        1.076491
V_000_69        0.9633428       0.9558201       1.104416
V_000_70        0.9568251       1.17834 1.037932
V_000_71        0.9112006       0.9804369       1.091814
V_000_72        0.9782468       0.8922817       0.9161756
V_000_73        1.105003        1.057043        0.9107287
V_000_74        0.9204755       1.022267        0.8330112
V_000_75        0.8060916       0.9438254       1.033268
